date,year,month,day,label,vintage,style,country,price,quantity,rate
2021-11-09,2021,11,9,Wine P,2002,Sparkling,Chile,269.89,8,84
2021-03-18,2021,3,18,Wine P,2021,Sparkling,Portugal,732.71,7,95
2021-11-06,2021,11,6,Wine H,2005,Red,Germany,226.67,3,90
2021-09-18,2021,9,18,Wine K,2001,White,Germany,64.45,13,92
2021-04-13,2021,4,13,Wine Z,2008,Orange,Germany,191.56,2,86
2021-07-12,2021,7,12,Wine I,1996,Red,Argentina,416.77,9,83
2021-05-11,2021,5,11,Wine T,2002,Rose,Germany,69.43,13,80
2021-12-13,2021,12,13,Wine Y,2013,Orange,Spain,151.56,12,81
2021-11-30,2021,11,30,Wine R,2014,Sparkling,USA,262.69,8,94
2021-11-28,2021,11,28,Wine W,2021,Sweet,Portugal,377.73,13,75
2021-10-18,2021,10,18,Wine U,1997,Rose,Spain,131.88,12,95
2021-08-27,2021,8,27,Wine B,1985,Red,Portugal,227.87,9,99
2021-06-23,2021,6,23,Wine W,1984,Sweet,Argentina,493.96,1,95
2021-12-20,2021,12,20,Wine Z,2001,Orange,Brazil,52.25,4,96
2021-08-11,2021,8,11,Wine O,1992,White,Italy,168.96,6,99
2021-01-27,2021,1,27,Wine R,2010,Sparkling,Uruguay,104.55,2,86
2021-08-08,2021,8,8,Wine P,1987,Sparkling,Italy,140.1,12,83
2021-03-11,2021,3,11,Wine Y,1999,Orange,Portugal,395.65,1,76
2021-12-05,2021,12,5,Wine V,2020,Sweet,USA,274.18,5,75
2021-03-05,2021,3,5,Wine Z,1988,Orange,Italy,310.04,9,77
2021-10-28,2021,10,28,Wine V,2005,Sweet,Brazil,320.59,2,88
2021-05-08,2021,5,8,Wine M,1990,White,Uruguay,88.41,13,94
2021-04-23,2021,4,23,Wine Q,2002,Sparkling,USA,428.04,6,84
2021-09-23,2021,9,23,Wine K,1987,White,Germany,392.5,10,92
2021-12-26,2021,12,26,Wine G,2002,Red,Spain,281.99,4,93
2021-02-01,2021,2,1,Wine U,2010,Rose,Brazil,50.14,11,76
2021-06-13,2021,6,13,Wine Y,1986,Orange,Argentina,360.37,15,95
2021-06-28,2021,6,28,Wine O,2000,White,France,127.73,4,84
2021-10-07,2021,10,7,Wine K,1992,White,Germany,108.68,14,98
2021-04-07,2021,4,7,Wine Q,2001,Sparkling,France,121.1,8,86
2021-04-24,2021,4,24,Wine K,1990,White,Brazil,106.46,6,98
2021-06-11,2021,6,11,Wine T,2020,Rose,Uruguay,250.72,13,96
2021-05-24,2021,5,24,Wine V,1984,Sweet,Uruguay,50.73,5,86
2021-06-09,2021,6,9,Wine G,2000,Red,Chile,146.67,9,100
2021-05-21,2021,5,21,Wine Y,2020,Orange,Brazil,61.2,4,92
2021-09-05,2021,9,5,Wine V,2017,Sweet,Argentina,250.41,5,88
2021-08-11,2021,8,11,Wine H,2002,Red,France,108.94,2,81
2021-02-20,2021,2,20,Wine T,2016,Rose,Argentina,382.3,7,82
2021-06-17,2021,6,17,Wine N,2012,White,Portugal,342.73,10,82
2021-11-03,2021,11,3,Wine P,1993,Sparkling,Brazil,83.74,8,88
2021-03-19,2021,3,19,Wine Q,2020,Sparkling,Italy,320.43,10,81
2021-06-20,2021,6,20,Wine S,1999,Rose,Germany,104.31,14,95
2021-07-21,2021,7,21,Wine D,1994,Red,Uruguay,171.88,9,87
2021-09-04,2021,9,4,Wine Q,2015,Sparkling,Chile,220.78,9,93
2021-11-27,2021,11,27,Wine U,1986,Rose,Germany,345.78,11,77
2021-04-02,2021,4,2,Wine L,1999,White,Chile,545.05,15,91
2021-07-11,2021,7,11,Wine M,2016,White,Brazil,75.38,7,83
2021-05-01,2021,5,1,Wine R,1984,Sparkling,Germany,164.21,10,76
2021-06-13,2021,6,13,Wine Y,1994,Orange,Argentina,479.3,10,100
2021-09-14,2021,9,14,Wine X,1990,Sweet,Spain,374.95,11,80
2021-10-23,2021,10,23,Wine C,1999,Red,Germany,91.54,2,87
2021-08-08,2021,8,8,Wine D,2017,Red,USA,405.92,10,92
2021-07-11,2021,7,11,Wine C,1988,Red,France,409.73,7,75
2021-02-16,2021,2,16,Wine U,2018,Rose,Uruguay,152.3,6,77
2021-02-17,2021,2,17,Wine I,1988,Red,Chile,112.14,12,83
2021-09-10,2021,9,10,Wine M,1985,White,Spain,521.05,5,94
2021-08-14,2021,8,14,Wine F,1984,Red,Germany,132.62,1,92
2021-01-01,2021,1,1,Wine N,1991,White,Portugal,93.21,9,76
2021-12-19,2021,12,19,Wine K,2001,White,Argentina,178.8,7,92
2021-04-07,2021,4,7,Wine W,1997,Sweet,Chile,154.1,14,80
2021-08-08,2021,8,8,Wine C,2012,Red,USA,615.06,8,97
2021-05-06,2021,5,6,Wine U,1989,Rose,Uruguay,355.05,9,97
2021-07-20,2021,7,20,Wine X,2002,Sweet,Uruguay,410.22,3,91
2021-05-12,2021,5,12,Wine Y,1995,Orange,Argentina,330.89,8,98
2021-09-04,2021,9,4,Wine T,2010,Rose,Uruguay,110.27,7,99
2021-03-27,2021,3,27,Wine Y,1985,Orange,Brazil,191.17,8,94
2021-05-25,2021,5,25,Wine K,1994,White,Uruguay,95.37,7,91
2021-11-05,2021,11,5,Wine A,2011,Red,Portugal,223.99,3,99
2021-11-27,2021,11,27,Wine S,1996,Rose,Chile,340.48,2,96
2021-08-07,2021,8,7,Wine X,2001,Sweet,Argentina,182.19,6,82
2021-10-04,2021,10,4,Wine R,1995,Sparkling,Spain,81.97,6,79
2021-10-23,2021,10,23,Wine L,1987,White,Portugal,66.27,13,94
2021-09-03,2021,9,3,Wine V,1990,Sweet,Brazil,263.62,8,77
2021-08-31,2021,8,31,Wine P,2005,Sparkling,USA,403.31,11,93
2021-04-18,2021,4,18,Wine U,1987,Rose,Argentina,94.52,6,86
2021-04-04,2021,4,4,Wine L,2005,White,Brazil,282.79,14,95
2021-12-28,2021,12,28,Wine S,1991,Rose,Italy,418.81,11,90
2021-06-21,2021,6,21,Wine T,1999,Rose,Brazil,78.08,12,83
2021-05-20,2021,5,20,Wine J,1986,Red,Portugal,118.71,15,98
2021-07-03,2021,7,3,Wine Y,1992,Orange,Germany,307.03,13,93
2021-10-29,2021,10,29,Wine Z,2002,Orange,Spain,101.5,5,76
2021-10-27,2021,10,27,Wine Y,2010,Orange,Chile,57.11,10,96
2021-01-04,2021,1,4,Wine F,2019,Red,Brazil,227.05,14,99
2021-10-12,2021,10,12,Wine V,2016,Sweet,Uruguay,86.78,13,98
2021-10-20,2021,10,20,Wine I,1991,Red,France,161.26,10,99
2021-04-05,2021,4,5,Wine Y,2011,Orange,Brazil,64.67,6,76
2021-11-23,2021,11,23,Wine P,2011,Sparkling,Chile,303.25,15,97
2021-07-18,2021,7,18,Wine Q,1996,Sparkling,USA,213.52,10,85
2021-01-22,2021,1,22,Wine O,1998,White,Germany,280.44,8,86
2021-02-03,2021,2,3,Wine Z,1998,Orange,France,400.55,10,91
2021-11-20,2021,11,20,Wine V,2003,Sweet,France,85.64,6,84
2021-12-08,2021,12,8,Wine A,2011,Red,Brazil,236.92,8,83
2021-10-09,2021,10,9,Wine G,1995,Red,Italy,424.39,5,85
2021-09-04,2021,9,4,Wine Z,1995,Orange,Uruguay,307.37,8,86
2021-07-19,2021,7,19,Wine V,2011,Sweet,Germany,392.86,10,90
2021-04-28,2021,4,28,Wine Q,1982,Sparkling,Chile,70.52,5,96
2021-10-28,2021,10,28,Wine K,1983,White,Germany,293.22,6,81
2021-11-08,2021,11,8,Wine P,2002,Sparkling,Chile,342.7,7,87
2021-08-27,2021,8,27,Wine H,1995,Red,Chile,519.45,14,86
2021-12-10,2021,12,10,Wine V,1993,Sweet,Italy,239.76,6,78
2021-01-03,2021,1,3,Wine K,2020,White,Brazil,258.46,3,96
2021-10-25,2021,10,25,Wine Y,2021,Orange,Argentina,260.9,8,98
2021-08-20,2021,8,20,Wine P,2015,Sparkling,Argentina,54.13,5,96
2021-10-27,2021,10,27,Wine Z,1990,Orange,France,704.16,11,97
2021-11-20,2021,11,20,Wine V,2015,Sweet,France,72.06,1,97
2021-05-14,2021,5,14,Wine R,1985,Sparkling,Germany,327.78,1,95
2021-10-30,2021,10,30,Wine Y,2005,Orange,Argentina,264.61,15,85
2021-03-19,2021,3,19,Wine Y,2017,Orange,Uruguay,364.85,3,94
2021-08-27,2021,8,27,Wine X,1994,Sweet,Argentina,189.74,12,79
2021-04-02,2021,4,2,Wine R,2014,Sparkling,Argentina,586.15,7,88
2021-08-27,2021,8,27,Wine Z,2007,Orange,Portugal,500.14,5,93
2021-09-16,2021,9,16,Wine W,1985,Sweet,Spain,170.54,6,87
2021-10-18,2021,10,18,Wine X,2018,Sweet,France,109.08,5,91
2021-12-22,2021,12,22,Wine W,1982,Sweet,France,295.79,11,81
2021-02-03,2021,2,3,Wine S,1999,Rose,Chile,131.13,7,96
2021-07-28,2021,7,28,Wine U,2011,Rose,Chile,211.97,14,80
2021-12-15,2021,12,15,Wine Q,1997,Sparkling,USA,340.84,5,91
2021-05-16,2021,5,16,Wine Y,1991,Orange,Portugal,403.56,10,87
2021-06-23,2021,6,23,Wine V,2011,Sweet,Chile,182.52,14,94
2021-05-11,2021,5,11,Wine H,2012,Red,Uruguay,177.99,7,94
2021-02-13,2021,2,13,Wine W,2008,Sweet,Italy,167.9,14,76
2021-03-26,2021,3,26,Wine V,1988,Sweet,Argentina,409.98,14,96
2021-11-09,2021,11,9,Wine W,1988,Sweet,Argentina,101.42,13,84
2021-03-18,2021,3,18,Wine P,1998,Sparkling,Spain,102.65,3,97
2021-06-11,2021,6,11,Wine M,2002,White,Spain,71.06,15,89
2021-07-18,2021,7,18,Wine P,2017,Sparkling,France,128.15,10,95
2021-08-22,2021,8,22,Wine V,1993,Sweet,Portugal,181.07,14,92
2021-08-09,2021,8,9,Wine X,1986,Sweet,Uruguay,131.52,4,82
2021-06-26,2021,6,26,Wine S,1994,Rose,Italy,426.77,2,83
2021-01-23,2021,1,23,Wine J,1998,Red,Italy,202.49,3,76
2021-06-05,2021,6,5,Wine N,2004,White,Spain,280.6,9,87
2021-02-18,2021,2,18,Wine U,1985,Rose,USA,125.17,3,93
2021-06-06,2021,6,6,Wine D,2008,Red,France,66.65,1,79
2021-03-29,2021,3,29,Wine V,1995,Sweet,Uruguay,190.57,10,97
2021-03-05,2021,3,5,Wine X,1993,Sweet,Chile,159.2,10,97
2021-06-19,2021,6,19,Wine P,2007,Sparkling,Uruguay,392.19,14,88
2021-05-02,2021,5,2,Wine Q,2008,Sparkling,Argentina,126.07,15,94
2021-02-22,2021,2,22,Wine K,2012,White,Brazil,139.26,11,82
2021-03-04,2021,3,4,Wine R,1996,Sparkling,France,232.95,11,97
2021-05-02,2021,5,2,Wine J,2013,Red,France,99.25,12,83
2021-07-21,2021,7,21,Wine Y,2021,Orange,Italy,72.72,15,81
2021-09-19,2021,9,19,Wine Y,2003,Orange,Italy,234.59,5,91
2021-11-01,2021,11,1,Wine G,2020,Red,Argentina,87.28,9,96
2021-04-27,2021,4,27,Wine Y,2011,Orange,Brazil,357.18,15,88
2021-12-28,2021,12,28,Wine P,2015,Sparkling,Chile,172.38,6,77
2021-06-25,2021,6,25,Wine R,1992,Sparkling,USA,377.7,5,89
2021-07-01,2021,7,1,Wine X,1983,Sweet,Portugal,133.84,10,92
2021-09-03,2021,9,3,Wine G,1990,Red,France,236.0,1,79
2021-06-22,2021,6,22,Wine H,1992,Red,Chile,404.08,4,75
2021-08-19,2021,8,19,Wine Z,2008,Orange,USA,456.14,13,89
2021-04-28,2021,4,28,Wine U,1989,Rose,Germany,124.11,15,94
2021-07-02,2021,7,2,Wine Q,2009,Sparkling,USA,365.35,1,79
2021-08-15,2021,8,15,Wine T,2014,Rose,Germany,187.77,7,93
2021-12-30,2021,12,30,Wine T,1997,Rose,Argentina,414.53,7,98
2021-01-21,2021,1,21,Wine U,1991,Rose,France,418.89,1,90
2021-11-25,2021,11,25,Wine R,1997,Sparkling,Argentina,132.7,9,75
2021-01-09,2021,1,9,Wine Y,2013,Orange,Germany,321.94,4,84
2021-04-18,2021,4,18,Wine T,1994,Rose,Germany,115.39,13,89
2021-02-09,2021,2,9,Wine R,2005,Sparkling,Uruguay,434.72,14,97
2021-08-21,2021,8,21,Wine O,1988,White,USA,151.98,5,97
2021-09-27,2021,9,27,Wine I,2010,Red,Brazil,348.64,14,97
2021-05-25,2021,5,25,Wine S,2016,Rose,Argentina,248.09,5,77
2021-12-04,2021,12,4,Wine H,2006,Red,France,498.58,15,97
2021-02-06,2021,2,6,Wine E,2014,Red,USA,72.02,15,88
2021-02-26,2021,2,26,Wine L,1996,White,Brazil,98.36,2,96
2021-11-11,2021,11,11,Wine T,2017,Rose,Portugal,172.58,8,81
2021-06-03,2021,6,3,Wine P,2006,Sparkling,Uruguay,77.83,6,93
2021-12-19,2021,12,19,Wine S,2007,Rose,Spain,70.04,14,84
2021-09-07,2021,9,7,Wine R,2012,Sparkling,Chile,66.4,9,82
2021-12-03,2021,12,3,Wine O,2017,White,Portugal,371.57,3,80
2021-01-05,2021,1,5,Wine X,2011,Sweet,Germany,183.26,2,77
2021-12-08,2021,12,8,Wine P,2005,Sparkling,Uruguay,177.79,10,85
2021-10-31,2021,10,31,Wine W,2014,Sweet,Argentina,441.05,14,86
2021-08-18,2021,8,18,Wine H,2021,Red,Uruguay,372.81,14,96
2021-04-29,2021,4,29,Wine B,2000,Red,France,50.71,7,99
2021-05-11,2021,5,11,Wine Y,2005,Orange,Italy,196.25,5,100
2021-08-23,2021,8,23,Wine N,1989,White,Argentina,172.62,10,84
2021-02-23,2021,2,23,Wine X,1998,Sweet,Italy,179.26,4,84
2021-04-12,2021,4,12,Wine V,2009,Sweet,Italy,289.69,3,89
2021-05-24,2021,5,24,Wine R,2014,Sparkling,Chile,94.83,2,84
2021-12-20,2021,12,20,Wine Z,1987,Orange,Italy,300.01,6,88
2021-05-26,2021,5,26,Wine Y,2013,Orange,Uruguay,337.87,7,86
2021-01-29,2021,1,29,Wine C,2012,Red,Germany,271.24,1,85
2021-11-25,2021,11,25,Wine Z,2007,Orange,Argentina,70.23,13,87
2021-06-16,2021,6,16,Wine N,2004,White,Brazil,358.4,2,94
2021-05-29,2021,5,29,Wine O,2011,White,Brazil,217.59,12,80
2021-08-14,2021,8,14,Wine D,1983,Red,Italy,214.75,7,87
2021-05-02,2021,5,2,Wine S,1985,Rose,Chile,180.9,7,91
2021-11-19,2021,11,19,Wine S,2020,Rose,Italy,220.55,15,82
2021-02-14,2021,2,14,Wine V,1994,Sweet,Brazil,57.63,10,86
2021-04-26,2021,4,26,Wine Y,2004,Orange,Brazil,105.16,8,96
2021-12-30,2021,12,30,Wine L,1999,White,Chile,102.44,6,99
2021-02-16,2021,2,16,Wine R,1997,Sparkling,France,311.1,9,84
2021-12-03,2021,12,3,Wine K,2016,White,Brazil,102.05,10,96
2021-08-09,2021,8,9,Wine V,2009,Sweet,Chile,375.36,5,80
2021-06-11,2021,6,11,Wine G,2017,Red,Germany,619.98,10,100
2021-06-29,2021,6,29,Wine D,1997,Red,Brazil,412.49,7,81
2021-11-08,2021,11,8,Wine W,1994,Sweet,Italy,78.67,15,84
2021-04-15,2021,4,15,Wine J,2017,Red,Chile,331.17,2,100
2021-08-07,2021,8,7,Wine W,2012,Sweet,Italy,52.1,12,82
2021-07-23,2021,7,23,Wine X,1984,Sweet,Portugal,118.81,2,88
2021-05-31,2021,5,31,Wine R,1998,Sparkling,Chile,335.99,14,90
2021-12-25,2021,12,25,Wine H,2018,Red,Brazil,68.45,7,93
2021-08-16,2021,8,16,Wine S,2011,Rose,Uruguay,69.33,2,76
2021-05-11,2021,5,11,Wine M,2017,White,France,617.79,7,96
2021-01-27,2021,1,27,Wine X,2017,Sweet,Argentina,312.53,1,80
2021-02-18,2021,2,18,Wine I,2012,Red,Uruguay,107.05,11,85
2021-12-13,2021,12,13,Wine V,2006,Sweet,Italy,114.11,11,82
2021-07-18,2021,7,18,Wine Y,1987,Orange,Portugal,52.93,15,95
2021-01-20,2021,1,20,Wine G,1997,Red,Germany,104.89,15,91
2021-10-11,2021,10,11,Wine Y,1996,Orange,Germany,254.06,8,99
2021-04-12,2021,4,12,Wine R,2005,Sparkling,Chile,141.79,15,90
2021-09-06,2021,9,6,Wine O,1987,White,Germany,167.66,4,86
2021-01-13,2021,1,13,Wine X,2019,Sweet,Spain,277.58,10,79
2021-03-19,2021,3,19,Wine W,2007,Sweet,Spain,102.77,3,80
2021-05-03,2021,5,3,Wine T,2004,Rose,Italy,167.81,5,76
2021-09-29,2021,9,29,Wine S,1997,Rose,Italy,382.09,12,82
2021-07-06,2021,7,6,Wine Y,2017,Orange,Italy,98.43,11,77
2021-01-07,2021,1,7,Wine I,2021,Red,Brazil,183.4,13,92
2021-07-22,2021,7,22,Wine Z,1996,Orange,Portugal,255.1,8,96
2021-06-23,2021,6,23,Wine P,2001,Sparkling,Brazil,91.86,11,98
2021-02-22,2021,2,22,Wine M,1982,White,Argentina,97.52,6,83
2021-12-24,2021,12,24,Wine R,2017,Sparkling,Argentina,102.06,12,81
2021-01-21,2021,1,21,Wine S,2011,Rose,Chile,484.97,15,98
2021-08-10,2021,8,10,Wine X,1995,Sweet,Brazil,255.24,3,76
2021-04-01,2021,4,1,Wine R,2008,Sparkling,Germany,177.56,10,82
2021-04-02,2021,4,2,Wine H,1996,Red,France,143.75,12,85
2021-12-07,2021,12,7,Wine P,1997,Sparkling,USA,82.01,7,77
2021-07-16,2021,7,16,Wine M,2015,White,Uruguay,291.0,15,78
2021-09-29,2021,9,29,Wine T,1986,Rose,Uruguay,251.55,5,96
2021-01-24,2021,1,24,Wine O,2021,White,Chile,107.36,8,100
2021-06-07,2021,6,7,Wine P,2013,Sparkling,Portugal,253.97,11,91
2021-09-25,2021,9,25,Wine N,1999,White,Portugal,68.62,14,100
2021-06-08,2021,6,8,Wine X,2017,Sweet,Portugal,398.34,5,82
2021-03-15,2021,3,15,Wine C,1989,Red,Spain,399.73,14,92
2021-02-16,2021,2,16,Wine V,2003,Sweet,Italy,244.76,11,100
2021-02-13,2021,2,13,Wine P,2003,Sparkling,Portugal,357.15,15,77
2021-07-18,2021,7,18,Wine Y,2008,Orange,Chile,501.43,2,96
2021-11-27,2021,11,27,Wine V,1982,Sweet,Germany,83.54,13,94
2021-11-04,2021,11,4,Wine P,2002,Sparkling,Argentina,98.12,10,80
2021-03-01,2021,3,1,Wine O,1984,White,Uruguay,162.79,7,82
2021-07-25,2021,7,25,Wine T,2001,Rose,Portugal,171.87,12,91
2021-02-07,2021,2,7,Wine L,2018,White,Spain,370.04,4,95
2021-12-29,2021,12,29,Wine T,1986,Rose,Spain,299.16,2,97
2021-06-21,2021,6,21,Wine L,1983,White,France,60.8,5,93
2021-09-26,2021,9,26,Wine Y,1986,Orange,Chile,179.32,5,81
2021-02-05,2021,2,5,Wine M,2018,White,Argentina,98.38,4,88
2021-04-03,2021,4,3,Wine U,1998,Rose,Uruguay,139.69,6,96
2021-06-17,2021,6,17,Wine S,2012,Rose,Portugal,169.2,5,88
2021-10-31,2021,10,31,Wine R,2010,Sparkling,Uruguay,305.43,7,88
2021-06-19,2021,6,19,Wine D,1982,Red,Uruguay,191.09,2,99
2021-10-11,2021,10,11,Wine Q,1991,Sparkling,Uruguay,150.55,9,95
2021-07-13,2021,7,13,Wine M,1994,White,Chile,82.31,7,94
2021-12-22,2021,12,22,Wine K,1998,White,Germany,137.09,9,88
2021-10-18,2021,10,18,Wine W,1999,Sweet,Argentina,127.7,4,79
2021-10-23,2021,10,23,Wine Y,2020,Orange,USA,304.92,2,75
2021-11-29,2021,11,29,Wine P,2011,Sparkling,Uruguay,242.56,2,79
2021-05-19,2021,5,19,Wine X,2015,Sweet,Germany,213.75,1,75
2021-12-14,2021,12,14,Wine Q,2016,Sparkling,Italy,82.66,7,98
2021-02-23,2021,2,23,Wine K,1997,White,Germany,122.47,10,81
2021-08-09,2021,8,9,Wine U,1983,Rose,Chile,398.82,15,86
2021-12-12,2021,12,12,Wine U,2001,Rose,Argentina,132.65,8,86
2021-08-24,2021,8,24,Wine W,2008,Sweet,USA,153.82,15,96
2021-04-08,2021,4,8,Wine R,2000,Sparkling,Germany,158.31,9,99
2021-08-08,2021,8,8,Wine N,1987,White,Uruguay,175.28,2,79
2021-11-18,2021,11,18,Wine V,1984,Sweet,USA,199.37,14,87
2021-12-21,2021,12,21,Wine Z,1988,Orange,USA,82.49,7,75
2021-11-23,2021,11,23,Wine L,1989,White,Brazil,79.24,1,77
2021-08-07,2021,8,7,Wine N,1994,White,Germany,167.45,9,98
2021-03-25,2021,3,25,Wine K,2016,White,Spain,359.75,8,75
2021-05-07,2021,5,7,Wine U,2020,Rose,Portugal,632.78,5,97
2021-03-01,2021,3,1,Wine A,1985,Red,Brazil,209.14,2,85
2021-11-18,2021,11,18,Wine U,1986,Rose,Italy,54.51,2,78
2021-01-19,2021,1,19,Wine K,2014,White,Germany,320.16,13,84
2021-09-01,2021,9,1,Wine Z,2016,Orange,Brazil,316.09,10,98
2021-05-20,2021,5,20,Wine T,2007,Rose,USA,61.27,9,90
2021-10-14,2021,10,14,Wine J,1998,Red,Italy,192.78,2,82
2021-05-13,2021,5,13,Wine N,1982,White,Italy,266.59,14,92
2021-10-23,2021,10,23,Wine E,2003,Red,Chile,109.01,4,98
2021-03-09,2021,3,9,Wine Y,2003,Orange,Italy,110.52,8,97
2021-12-03,2021,12,3,Wine R,2011,Sparkling,Brazil,223.79,2,89
2021-06-13,2021,6,13,Wine X,2001,Sweet,Spain,251.9,8,99
2021-07-10,2021,7,10,Wine O,1991,White,Italy,67.79,12,90
2021-11-15,2021,11,15,Wine Z,2001,Orange,Argentina,527.23,4,80
2021-03-09,2021,3,9,Wine L,1983,White,Uruguay,169.38,6,82
2021-12-08,2021,12,8,Wine Y,1992,Orange,Argentina,87.89,14,100
2021-04-03,2021,4,3,Wine W,1996,Sweet,Germany,425.95,12,76
2021-02-08,2021,2,8,Wine V,1997,Sweet,Italy,70.12,4,94
2021-04-14,2021,4,14,Wine Y,1990,Orange,Chile,137.57,9,75
2021-10-29,2021,10,29,Wine Y,2012,Orange,Uruguay,355.57,11,76
2021-05-04,2021,5,4,Wine V,1999,Sweet,Chile,138.25,13,93
2021-01-11,2021,1,11,Wine Z,2001,Orange,USA,240.97,6,88
2021-02-19,2021,2,19,Wine P,1985,Sparkling,Portugal,641.53,9,87
2021-04-02,2021,4,2,Wine T,1996,Rose,France,128.28,15,83
2021-05-11,2021,5,11,Wine Z,1988,Orange,Uruguay,348.16,1,95
2021-07-05,2021,7,5,Wine T,1998,Rose,USA,340.07,15,84
2021-11-13,2021,11,13,Wine P,2006,Sparkling,Italy,195.44,6,95
2021-06-28,2021,6,28,Wine W,2017,Sweet,USA,97.0,9,80
2021-03-06,2021,3,6,Wine M,2014,White,France,221.65,7,96
2021-06-27,2021,6,27,Wine X,2005,Sweet,Uruguay,56.61,6,87
2021-09-07,2021,9,7,Wine I,1997,Red,Uruguay,83.56,3,88
2021-08-02,2021,8,2,Wine O,2010,White,USA,125.01,12,76
2021-05-06,2021,5,6,Wine Q,1991,Sparkling,Chile,131.04,2,77
2021-04-28,2021,4,28,Wine K,1991,White,Chile,268.91,14,76
2021-09-26,2021,9,26,Wine T,1996,Rose,Portugal,58.18,12,80
2021-03-29,2021,3,29,Wine T,2014,Rose,Portugal,191.08,7,91
2021-01-10,2021,1,10,Wine S,1987,Rose,Spain,205.82,1,76
2021-10-15,2021,10,15,Wine V,2001,Sweet,Argentina,164.37,9,76
2021-09-30,2021,9,30,Wine R,2021,Sparkling,Spain,299.96,10,75
2021-04-08,2021,4,8,Wine Y,2005,Orange,USA,93.89,5,100
2021-12-15,2021,12,15,Wine L,1994,White,Spain,286.65,6,78
2021-02-20,2021,2,20,Wine O,2005,White,Spain,299.2,3,92
2021-06-23,2021,6,23,Wine F,2011,Red,Brazil,126.61,6,80
2021-11-05,2021,11,5,Wine Z,2019,Orange,France,127.45,10,79
2021-06-06,2021,6,6,Wine N,1994,White,Argentina,56.32,9,95
2021-12-16,2021,12,16,Wine M,2016,White,Germany,342.94,9,93
2021-02-05,2021,2,5,Wine G,1983,Red,Portugal,342.25,2,76
2021-12-25,2021,12,25,Wine Y,1995,Orange,Chile,205.63,15,100
2021-01-30,2021,1,30,Wine W,2013,Sweet,France,116.28,13,100
2021-05-05,2021,5,5,Wine L,2021,White,France,122.72,9,81
